,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-21 09:30:00-05:00,498.04998779296875,502.0,492.4901123046875,494.7200012207031,553599,0,0
2020-12-21 10:30:00-05:00,494.3800048828125,495.7496032714844,491.5,495.7449951171875,245466,0,0
2020-12-21 11:30:00-05:00,495.7200012207031,497.5249938964844,495.45269775390625,496.9599914550781,183953,0,0
2020-12-21 12:30:00-05:00,497.2049865722656,500.1099853515625,497.16119384765625,500.0400085449219,133063,0,0
2020-12-21 13:30:00-05:00,499.9700012207031,501.40899658203125,499.8500061035156,500.4729919433594,147730,0,0
2020-12-21 14:30:00-05:00,500.4800109863281,500.9599914550781,499.29998779296875,499.3399963378906,150636,0,0
2020-12-21 15:30:00-05:00,499.25,499.3900146484375,496.6700134277344,498.2300109863281,239401,0,0
2020-12-22 09:30:00-05:00,498.3599853515625,503.3500061035156,495.8299865722656,500.75,366346,0,0
2020-12-22 10:30:00-05:00,501.0098876953125,504.6050109863281,500.32000732421875,503.760009765625,216609,0,0
2020-12-22 11:30:00-05:00,503.70001220703125,503.7699890136719,499.6099853515625,503.6199951171875,171808,0,0
2020-12-22 12:30:00-05:00,503.6300048828125,505.1199951171875,503.5299987792969,504.6499938964844,138965,0,0
2020-12-22 13:30:00-05:00,504.67999267578125,506.9200134277344,504.5899963378906,506.3399963378906,166916,0,0
2020-12-22 14:30:00-05:00,506.3599853515625,506.44000244140625,503.1099853515625,503.5,187885,0,0
2020-12-22 15:30:00-05:00,503.4118957519531,504.4200134277344,502.57000732421875,504.1700134277344,255154,0,0
2020-12-23 09:30:00-05:00,505.1300048828125,505.4599914550781,498.6611022949219,500.864990234375,294490,0,0
2020-12-23 10:30:00-05:00,500.8699951171875,502.46990966796875,500.0799865722656,500.82000732421875,161001,0,0
2020-12-23 11:30:00-05:00,500.9800109863281,502.3815002441406,500.510009765625,502.1000061035156,89092,0,0
2020-12-23 12:30:00-05:00,502.1499938964844,502.7349853515625,500.8500061035156,502.1299133300781,106382,0,0
2020-12-23 13:30:00-05:00,501.95001220703125,502.3399963378906,500.3699951171875,500.69000244140625,131104,0,0
2020-12-23 14:30:00-05:00,500.7300109863281,501.05999755859375,499.70001220703125,499.9200134277344,144039,0,0
2020-12-23 15:30:00-05:00,499.92999267578125,500.07000732421875,496.5899963378906,496.9100036621094,250781,0,0
2020-12-24 09:30:00-05:00,499.1600036621094,503.010009765625,498.0400085449219,498.80499267578125,178436,0,0
2020-12-24 10:30:00-05:00,498.8349914550781,500.6050109863281,497.2799987792969,497.9599914550781,140629,0,0
2020-12-24 11:30:00-05:00,497.8900146484375,499.80499267578125,497.5801086425781,499.80499267578125,106445,0,0
2020-12-24 13:00:00-05:00,499.8299865722656,500.30999755859375,498.8500061035156,499.8599853515625,0,0,0
2020-12-28 09:30:00-05:00,505.6099853515625,506.0400085449219,497.0299987792969,497.9150085449219,373046,0,0
2020-12-28 10:30:00-05:00,498.0,500.8099060058594,498.0,499.79998779296875,167119,0,0
2020-12-28 11:30:00-05:00,499.7699890136719,499.82000732421875,497.24139404296875,498.1000061035156,103102,0,0
2020-12-28 12:30:00-05:00,498.1700134277344,498.9599914550781,496.81500244140625,498.9599914550781,132074,0,0
2020-12-28 13:30:00-05:00,498.8900146484375,500.2049865722656,498.72100830078125,499.6199951171875,99236,0,0
2020-12-28 14:30:00-05:00,499.7300109863281,500.1600036621094,498.2449951171875,498.3500061035156,136404,0,0
2020-12-28 15:30:00-05:00,498.42999267578125,499.2900085449219,497.45001220703125,499.1300048828125,276294,0,0
2020-12-29 09:30:00-05:00,501.1650085449219,505.3500061035156,499.739990234375,503.29998779296875,313290,0,0
2020-12-29 10:30:00-05:00,503.45001220703125,504.781005859375,501.8243103027344,503.3399963378906,169131,0,0
2020-12-29 11:30:00-05:00,503.26971435546875,503.8699951171875,501.3699951171875,501.7699890136719,104658,0,0
2020-12-29 12:30:00-05:00,501.7749938964844,503.0,500.8299865722656,502.8500061035156,105707,0,0
2020-12-29 13:30:00-05:00,502.84991455078125,503.3500061035156,501.17999267578125,501.6000061035156,78398,0,0
2020-12-29 14:30:00-05:00,501.5400085449219,502.57000732421875,500.9270935058594,502.364990234375,104316,0,0
2020-12-29 15:30:00-05:00,502.364990234375,502.5299987792969,501.3999938964844,502.4800109863281,193212,0,0
2020-12-30 09:30:00-05:00,503.04998779296875,504.3699951171875,496.54998779296875,497.7900085449219,326064,0,0
2020-12-30 10:30:00-05:00,497.9700012207031,498.8500061035156,496.3275146484375,498.6499938964844,183025,0,0
2020-12-30 11:30:00-05:00,498.7699890136719,499.6499938964844,498.44500732421875,499.4100036621094,151559,0,0
2020-12-30 12:30:00-05:00,499.44000244140625,499.44000244140625,497.67999267578125,498.260009765625,133087,0,0
2020-12-30 13:30:00-05:00,498.25,499.94000244140625,497.7699890136719,498.3699951171875,164716,0,0
2020-12-30 14:30:00-05:00,498.5,499.0950012207031,497.54998779296875,498.3399963378906,116974,0,0
2020-12-30 15:30:00-05:00,498.1499938964844,498.82000732421875,496.760009765625,497.04998779296875,249479,0,0
2020-12-31 09:30:00-05:00,497.989990234375,500.25,497.510009765625,499.07000732421875,218346,0,0
