,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-16 09:30:00-05:00,90.90499877929688,91.75,90.3499984741211,90.41000366210938,9468333,0,0
2022-12-16 10:30:00-05:00,90.41000366210938,90.95999908447266,90.36000061035156,90.4000015258789,3002359,0,0
2022-12-16 11:30:00-05:00,90.41000366210938,90.58999633789062,90.10009765625,90.51000213623047,2288492,0,0
2022-12-16 12:30:00-05:00,90.51000213623047,90.78620147705078,90.08499908447266,90.37999725341797,2454039,0,0
2022-12-16 13:30:00-05:00,90.37999725341797,90.7249984741211,90.27999877929688,90.29000091552734,1883004,0,0
2022-12-16 14:30:00-05:00,90.29000091552734,90.99500274658203,90.01000213623047,90.88999938964844,2658289,0,0
2022-12-16 15:30:00-05:00,90.88999938964844,91.4800033569336,90.83000183105469,90.87000274658203,4324646,0,0
2022-12-16 16:00:00-05:00,90.86000061035156,90.86000061035156,90.86000061035156,90.86000061035156,0,0,0
