,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-12 09:30:00-05:00,93.0,93.87449645996094,92.38999938964844,92.69000244140625,4635266,0,0
2022-12-12 10:30:00-05:00,92.68000030517578,92.68990325927734,91.9000015258789,92.3499984741211,4141972,0,0
2022-12-12 11:30:00-05:00,92.3499984741211,92.51000213623047,91.91999816894531,92.2699966430664,2860601,0,0
2022-12-12 12:30:00-05:00,92.27999877929688,92.68000030517578,92.23999786376953,92.50499725341797,2387047,0,0
2022-12-12 13:30:00-05:00,92.50499725341797,92.79000091552734,92.47000122070312,92.71499633789062,2134206,0,0
2022-12-12 14:30:00-05:00,92.7125015258789,93.5,92.56500244140625,93.40499877929688,3491187,0,0
2022-12-12 15:30:00-05:00,93.41000366210938,93.5801010131836,93.15139770507812,93.54000091552734,3622860,0,0
2022-12-13 09:30:00-05:00,98.05999755859375,99.80000305175781,97.41999816894531,98.52999877929688,8378662,0,0
2022-12-13 10:30:00-05:00,98.53199768066406,98.62999725341797,97.45999908447266,98.2490005493164,4259673,0,0
2022-12-13 11:30:00-05:00,98.25,98.5199966430664,95.77040100097656,95.81999969482422,3422316,0,0
2022-12-13 12:30:00-05:00,95.80999755859375,96.2300033569336,95.37999725341797,95.97000122070312,2704350,0,0
2022-12-13 13:30:00-05:00,95.9800033569336,96.26000213623047,95.68000030517578,96.26000213623047,2207204,0,0
2022-12-13 14:30:00-05:00,96.25,96.67240142822266,95.62000274658203,96.05999755859375,2411974,0,0
2022-12-13 15:30:00-05:00,96.05999755859375,96.37000274658203,95.73999786376953,95.91000366210938,4609567,0,0
2022-12-14 09:30:00-05:00,95.54000091552734,96.91000366210938,95.5199966430664,96.76000213623047,3651714,0,0
2022-12-14 10:30:00-05:00,96.76000213623047,97.11000061035156,96.5,96.9000015258789,2902682,0,0
2022-12-14 11:30:00-05:00,96.90499877929688,97.22000122070312,96.27999877929688,96.41000366210938,1978726,0,0
2022-12-14 12:30:00-05:00,96.4000015258789,96.45999908447266,96.0199966430664,96.17500305175781,1570600,0,0
2022-12-14 13:30:00-05:00,96.17769622802734,96.69999694824219,94.58000183105469,95.32499694824219,3989320,0,0
2022-12-14 14:30:00-05:00,95.30000305175781,96.62999725341797,93.94000244140625,95.2300033569336,4975737,0,0
2022-12-14 15:30:00-05:00,95.20999908447266,95.83000183105469,94.9000015258789,95.31999969482422,2859833,0,0
2022-12-15 09:30:00-05:00,93.54000091552734,94.02999877929688,91.94000244140625,92.18499755859375,5421556,0,0
2022-12-15 10:30:00-05:00,92.16999816894531,92.44999694824219,91.14849853515625,91.55999755859375,3144661,0,0
2022-12-15 11:30:00-05:00,91.55999755859375,91.56999969482422,91.08999633789062,91.33999633789062,2402164,0,0
2022-12-15 12:30:00-05:00,91.33999633789062,91.48999786376953,90.72000122070312,90.83999633789062,2528401,0,0
2022-12-15 13:30:00-05:00,90.83999633789062,90.91000366210938,90.43000030517578,90.63580322265625,2107724,0,0
2022-12-15 14:30:00-05:00,90.6500015258789,91.5999984741211,90.61000061035156,91.54499816894531,2646529,0,0
2022-12-15 15:30:00-05:00,91.54499816894531,91.55999755859375,91.08999633789062,91.22000122070312,3726018,0,0
2022-12-16 09:30:00-05:00,90.90499877929688,91.75,90.3499984741211,90.41000366210938,9468333,0,0
2022-12-16 10:30:00-05:00,90.41000366210938,90.95999908447266,90.36000061035156,90.4000015258789,3002359,0,0
2022-12-16 11:30:00-05:00,90.41000366210938,90.58999633789062,90.10009765625,90.51000213623047,2288492,0,0
2022-12-16 12:30:00-05:00,90.51000213623047,90.78620147705078,90.08499908447266,90.37999725341797,2454039,0,0
2022-12-16 13:30:00-05:00,90.37999725341797,90.7249984741211,90.27999877929688,90.29000091552734,1883004,0,0
2022-12-16 14:30:00-05:00,90.29000091552734,90.99500274658203,90.01000213623047,90.88999938964844,2658289,0,0
2022-12-16 15:30:00-05:00,90.88999938964844,91.4800033569336,90.83000183105469,90.87000274658203,4324646,0,0
2022-12-16 16:00:00-05:00,90.86000061035156,90.86000061035156,90.86000061035156,90.86000061035156,0,0,0
